[2025-10-22 08:08:15] [INFO    ] discord.client: logging in using static token
[2025-10-22 08:08:16] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'First-Bot', 'primary_guild': None, 'mfa_enabled': False, 'id': '1430360928205144084', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '7615', 'clan': None, 'bot': True, 'avatar': None}, 'session_type': 'normal', 'session_id': '705cd7394ff6ac514a931c9c9c605d83', 'resume_gateway_url': 'wss://gateway-us-east1-c.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1430362989797707799'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['brazil', 'buenos-aires', 'santiago', 'southafrica', 'atlanta'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1430360928205144084', 'flags': 557056}, '_trace': ['["gateway-prd-arm-us-east1-c-ns08",{"micros":171820,"calls":["id_created",{"micros":474,"calls":[]},"session_lookup_time",{"micros":218,"calls":[]},"session_lookup_finished",{"micros":11,"calls":[]},"discord-sessions-prd-2-5",{"micros":170818,"calls":["start_session",{"micros":147942,"calls":["discord-api-rpc-5b5d9f69c-ck9xk",{"micros":99112,"calls":["get_user",{"micros":11104},"get_guilds",{"micros":2472},"send_scheduled_deletion_message",{"micros":10},"guild_join_requests",{"micros":669},"authorized_ip_coro",{"micros":8},"pending_payments",{"micros":33564},"apex_experiments",{"micros":5381},"user_activities",{"micros":12},"played_application_ids",{"micros":4},"linked_users",{"micros":3}]}]},"starting_guild_connect",{"micros":41,"calls":[]},"presence_started",{"micros":15755,"calls":[]},"guilds_started",{"micros":83,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":6963,"calls":[]},"connect_finished",{"micros":6981,"calls":[]},"build_ready",{"micros":13,"calls":[]},"clean_ready",{"micros":0,"calls":[]},"optimize_ready",{"micros":1,"calls":[]},"split_ready",{"micros":0,"calls":[]}]}]}]']}}
[2025-10-22 08:08:16] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-10-22 08:08:16] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 705cd7394ff6ac514a931c9c9c605d83).
[2025-10-22 08:08:16] [DEBUG   ] discord.client: Dispatching event connect
[2025-10-22 08:08:16] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'banner': None, 'afk_channel_id': None, 'application_command_counts': {}, 'voice_states': [], 'stage_instances': [], 'activity_instances': [], 'stickers': [], 'latest_onboarding_question_id': None, 'profile': None, 'hub_type': None, 'rules_channel_id': None, 'id': '1430362989797707799', 'afk_timeout': 300, 'inventory_settings': None, 'name': 'Bots-Testing-Zone', 'soundboard_sounds': [], 'system_channel_id': '1430362990699610278', 'unavailable': False, 'lazy': True, 'nsfw_level': 0, 'presences': [], 'incidents_data': None, 'channels': [{'version': 1761095511844, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Text Channels', 'id': '1430362990699610276', 'flags': 0}, {'version': 1761095511852, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Voice Channels', 'id': '1430362990699610277', 'flags': 0}, {'version': 1761095511857, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1430362990699610276', 'name': 'general', 'last_message_id': '1430382195113066627', 'id': '1430362990699610278', 'icon_emoji': {'name': '👋', 'id': None}, 'flags': 0}, {'version': 1761095511863, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1430362990699610277', 'name': 'General', 'last_message_id': None, 'id': '1430362990699610279', 'icon_emoji': {'name': '🎙', 'id': None}, 'flags': 0, 'bitrate': 64000}], 'emojis': [], 'roles': [{'version': 1761095511837, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1430362989797707799', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1761099867071, 'unicode_emoji': None, 'tags': {'bot_id': '1430360928205144084'}, 'position': 3, 'permissions': '429765422176', 'name': 'First-Bot', 'mentionable': False, 'managed': True, 'id': '1430363174435160117', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1761099867068, 'unicode_emoji': None, 'tags': {}, 'position': 2, 'permissions': '0', 'name': 'fiaper', 'mentionable': False, 'managed': False, 'id': '1430372131782397963', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 15277667}, 'color': 15277667}, {'version': 1761099867270, 'unicode_emoji': None, 'tags': {}, 'position': 1, 'permissions': '0', 'name': 'Gamer', 'mentionable': False, 'managed': False, 'id': '1430381220612673586', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 10181046}, 'color': 10181046}], 'threads': [], 'home_header': None, 'owner_configured_content_level': 0, 'public_updates_channel_id': None, 'verification_level': 0, 'explicit_content_filter': 0, 'members': [{'user': {'username': 'First-Bot', 'public_flags': 0, 'primary_guild': None, 'id': '1430360928205144084', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '7615', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1430363174435160117'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-10-22T01:12:35.715000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'member_count': 2, 'premium_tier': 0, 'moderator_reporting': None, 'premium_subscription_count': 0, 'description': None, 'discovery_splash': None, 'region': 'deprecated', 'nsfw': False, 'vanity_url_code': None, 'max_stage_video_channel_users': 50, 'guild_scheduled_events': [], 'owner_id': '1421888214540484682', 'preferred_locale': 'en-US', 'max_video_channel_users': 25, 'large': False, 'mfa_level': 0, 'default_message_notifications': 0, 'icon': None, 'embedded_activities': [], 'max_members': 25000000, 'safety_alerts_channel_id': None, 'system_channel_flags': 0, 'version': 1761095775482, 'joined_at': '2025-10-22T01:12:35.715000+00:00', 'premium_progress_bar_enabled': False, 'application_id': None, 'splash': None, 'features': [], 'premium_features': None}}
[2025-10-22 08:08:16] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-10-22 08:08:16] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBERS_CHUNK', 's': 3, 'op': 0, 'd': {'nonce': '01f3abdc22c1d340c87c1bad9f1dc95d', 'members': [{'user': {'username': 'raulacor', 'public_flags': 0, 'primary_guild': None, 'id': '1421888214540484682', 'global_name': 'raulacor', 'display_name_styles': None, 'display_name': 'raulacor', 'discriminator': '0', 'collectibles': {'nameplate': {'sku_id': '1409898407971127427', 'palette': 'berry', 'label': 'COLLECTIBLES_LUNAR_ECLIPSE_MOON_ESSENCE_NP_A11Y', 'expires_at': None, 'asset': 'nameplates/lunar_eclipse/moon_essence/'}}, 'bot': False, 'avatar_decoration_data': {'sku_id': '1333866045303423026', 'expires_at': None, 'asset': 'a_7f44d538ec830f479605f7bf8720afda'}, 'avatar': 'a_e68cd3c468b686cbae9ce61db27fe86d'}, 'roles': ['1430372131782397963'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-10-22T01:11:51.745000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'First-Bot', 'public_flags': 0, 'primary_guild': None, 'id': '1430360928205144084', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '7615', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1430363174435160117'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-10-22T01:12:35.715000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'guild_id': '1430362989797707799', 'chunk_index': 0, 'chunk_count': 1}}
[2025-10-22 08:08:16] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-10-22 08:08:16] [DEBUG   ] discord.state: Processed a chunk for 2 members in guild ID 1430362989797707799.
[2025-10-22 08:08:18] [DEBUG   ] discord.client: Dispatching event guild_available
[2025-10-22 08:08:18] [DEBUG   ] discord.client: Dispatching event ready
[2025-10-22 08:08:24] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'TYPING_START', 's': 4, 'op': 0, 'd': {'user_id': '1421888214540484682', 'timestamp': 1761131305, 'member': {'user': {'username': 'raulacor', 'public_flags': 0, 'primary_guild': None, 'id': '1421888214540484682', 'global_name': 'raulacor', 'display_name_styles': None, 'display_name': 'raulacor', 'discriminator': '0', 'collectibles': {'nameplate': {'sku_id': '1409898407971127427', 'palette': 'berry', 'label': 'COLLECTIBLES_LUNAR_ECLIPSE_MOON_ESSENCE_NP_A11Y', 'expires_at': None, 'asset': 'nameplates/lunar_eclipse/moon_essence/'}}, 'bot': False, 'avatar_decoration_data': {'sku_id': '1333866045303423026', 'expires_at': None, 'asset': 'a_7f44d538ec830f479605f7bf8720afda'}, 'avatar': 'a_e68cd3c468b686cbae9ce61db27fe86d'}, 'roles': ['1430372131782397963'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-10-22T01:11:51.745000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'channel_id': '1430362990699610278', 'guild_id': '1430362989797707799'}}
[2025-10-22 08:08:24] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-10-22 08:08:24] [DEBUG   ] discord.client: Dispatching event typing
[2025-10-22 08:08:24] [DEBUG   ] discord.client: Dispatching event raw_typing
[2025-10-22 08:08:26] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 5, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-10-22T11:08:26.224000+00:00', 'pinned': False, 'nonce': '1430513121658667008', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1430372131782397963'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-10-22T01:11:51.745000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1430513123219214379', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '!remove', 'components': [], 'channel_type': 0, 'channel_id': '1430362990699610278', 'author': {'username': 'raulacor', 'public_flags': 0, 'primary_guild': None, 'id': '1421888214540484682', 'global_name': 'raulacor', 'display_name_styles': None, 'discriminator': '0', 'collectibles': {'nameplate': {'sku_id': '1409898407971127427', 'palette': 'berry', 'label': 'COLLECTIBLES_LUNAR_ECLIPSE_MOON_ESSENCE_NP_A11Y', 'expires_at': None, 'asset': 'nameplates/lunar_eclipse/moon_essence/'}}, 'clan': None, 'avatar_decoration_data': {'sku_id': '1333866045303423026', 'expires_at': None, 'asset': 'a_7f44d538ec830f479605f7bf8720afda'}, 'avatar': 'a_e68cd3c468b686cbae9ce61db27fe86d'}, 'attachments': [], 'guild_id': '1430362989797707799'}}
[2025-10-22 08:08:26] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-10-22 08:08:26] [DEBUG   ] discord.client: Dispatching event message
[2025-10-22 08:08:26] [DEBUG   ] discord.client: Dispatching event command
[2025-10-22 08:08:26] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBER_UPDATE', 's': 6, 'op': 0, 'd': {'user': {'username': 'raulacor', 'public_flags': 0, 'primary_guild': None, 'id': '1421888214540484682', 'global_name': 'raulacor', 'display_name_styles': None, 'discriminator': '0', 'collectibles': {'nameplate': {'sku_id': '1409898407971127427', 'palette': 'berry', 'label': 'COLLECTIBLES_LUNAR_ECLIPSE_MOON_ESSENCE_NP_A11Y', 'expires_at': None, 'asset': 'nameplates/lunar_eclipse/moon_essence/'}}, 'clan': None, 'avatar_decoration_data': {'sku_id': '1333866045303423026', 'expires_at': None, 'asset': 'a_7f44d538ec830f479605f7bf8720afda'}, 'avatar': 'a_e68cd3c468b686cbae9ce61db27fe86d'}, 'unusual_dm_activity_until': None, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'joined_at': '2025-10-22T01:11:51.745000+00:00', 'guild_id': '1430362989797707799', 'flags': 0, 'display_name_styles': None, 'communication_disabled_until': None, 'collectibles': None, 'banner': None, 'avatar': None}}
[2025-10-22 08:08:26] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-10-22 08:08:26] [DEBUG   ] discord.client: Dispatching event member_update
[2025-10-22 08:08:26] [DEBUG   ] discord.http: DELETE https://discord.com/api/v10/guilds/1430362989797707799/members/1421888214540484682/roles/1430372131782397963 with None has returned 204
[2025-10-22 08:08:26] [DEBUG   ] discord.http: DELETE /guilds/{guild_id}/members/{user_id}/roles/{role_id} has found its initial rate limit bucket hash (b0bb9027ff6ae0c9619c2719f4a24de5).
[2025-10-22 08:08:26] [DEBUG   ] discord.http: DELETE https://discord.com/api/v10/guilds/1430362989797707799/members/1421888214540484682/roles/1430372131782397963 has received 
[2025-10-22 08:08:26] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 7, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-10-22T11:08:26.907000+00:00', 'pinned': False, 'nonce': '5395789314337630607', 'mentions': [{'username': 'raulacor', 'public_flags': 0, 'primary_guild': None, 'member': {'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-10-22T01:11:51.745000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1421888214540484682', 'global_name': 'raulacor', 'display_name_styles': None, 'discriminator': '0', 'collectibles': {'nameplate': {'sku_id': '1409898407971127427', 'palette': 'berry', 'label': 'COLLECTIBLES_LUNAR_ECLIPSE_MOON_ESSENCE_NP_A11Y', 'expires_at': None, 'asset': 'nameplates/lunar_eclipse/moon_essence/'}}, 'clan': None, 'avatar_decoration_data': {'sku_id': '1333866045303423026', 'expires_at': None, 'asset': 'a_7f44d538ec830f479605f7bf8720afda'}, 'avatar': 'a_e68cd3c468b686cbae9ce61db27fe86d'}], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1430363174435160117'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-10-22T01:12:35.715000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1430513126083661945', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '<@1421888214540484682> has had the fiaper removed', 'components': [], 'channel_type': 0, 'channel_id': '1430362990699610278', 'author': {'username': 'First-Bot', 'public_flags': 0, 'primary_guild': None, 'id': '1430360928205144084', 'global_name': None, 'display_name_styles': None, 'discriminator': '7615', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'attachments': [], 'guild_id': '1430362989797707799'}}
[2025-10-22 08:08:26] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-10-22 08:08:26] [DEBUG   ] discord.client: Dispatching event message
[2025-10-22 08:08:26] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1430362990699610278/messages with {"content":"<@1421888214540484682> has had the fiaper removed","components":[],"nonce":"5395789314337630607","enforce_nonce":true,"tts":false} has returned 200
[2025-10-22 08:08:26] [DEBUG   ] discord.http: POST /channels/{channel_id}/messages has found its initial rate limit bucket hash (3df15bae86f6647dd4dfcbd5c6949480).
[2025-10-22 08:08:26] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1430362990699610278/messages has received {'type': 0, 'content': '<@1421888214540484682> has had the fiaper removed', 'mentions': [{'id': '1421888214540484682', 'username': 'raulacor', 'avatar': 'a_e68cd3c468b686cbae9ce61db27fe86d', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': 'a_b26b93ff88f937686d9bc1b4bf8a4d75', 'accent_color': None, 'global_name': 'raulacor', 'avatar_decoration_data': {'asset': 'a_7f44d538ec830f479605f7bf8720afda', 'sku_id': '1333866045303423026', 'expires_at': None}, 'collectibles': {'nameplate': {'sku_id': '1409898407971127427', 'asset': 'nameplates/lunar_eclipse/moon_essence/', 'label': 'COLLECTIBLES_LUNAR_ECLIPSE_MOON_ESSENCE_NP_A11Y', 'palette': 'berry'}}, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}], 'mention_roles': [], 'attachments': [], 'embeds': [], 'timestamp': '2025-10-22T11:08:26.907000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1430513126083661945', 'channel_id': '1430362990699610278', 'author': {'id': '1430360928205144084', 'username': 'First-Bot', 'avatar': None, 'discriminator': '7615', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'nonce': '5395789314337630607'}
[2025-10-22 08:08:26] [DEBUG   ] discord.client: Dispatching event command_completion
[2025-10-22 08:08:57] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 7.
[2025-10-22 08:08:57] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
